Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Incorrect Predictions
Experiment 1 - Random Forest,0.9980957160331748,0.8209454036138759,0.8729470215574826,0.8355566618385463,0.9981425439729389,850
Experiment 2 - Balanced Random Forest,0.9984900148310116,0.9103752700541461,0.8593716087305345,0.8693239809682235,0.9984730147642181,674
